332 278 348 351 430 617 1100 705 484 386 337 357
361 296 292 350 381 551 597 545 381 318 297 312
349 277 305 345 449 876 750 493 389 357 290 305
316 254 278 310 385 508 545 468 363 318 280 295
279 228 278 270 345 419 553 571 408 346 256 294
275 262 279 318 390 380 461 419 437 366 320 264
304 278 309 318 291 358 484 453 409 400 315 274
307 302 299 332 385 388 516 446 442 354 356 343
310 262 322 348 450 604 522 489 406 405 337 328
364 305 328 309 359 381 556 508 515 454 415 353
450 321 360 379 459 536 641 543 606 508 392 454
395 330 434 406 448 640 774 654 524 487 412 405
426 348 333 386 507 603 657 531 543 527 469 476
445 419 463 436 525 723 1035 1351 705 629 573 507
516 668 545 504 567 619 688 810 666 666 565 598
683 507 579 551 736 875 995 867 721 611 575 647
542 565 550 563 662 899 1034 773 632 736 599 581
554 524 588 631 708 937 1232 1108 953 776 633 752
759 814 673 622 757 911 981 1047 888 798 679 642
664 635 707 676 828 997 1251 1015 879 817 781 741
756 686 785 1034 1295 1401 1320 1075 935 986 743 739
648 592 711 717 934 1198 1217 973 878 788 762 806
